id,category,config,charges,masses,c,eta,side_or_sep,bounce_r,tmax,dt,retcode,n_steps,t_final,E_drift_pct,bound,max_r,min_r,brake_idx,brake_period,notes
73,1+2-,equi_rot_s2.0_eta0.1,[-1-1+1],[1 1 1],4.0000,0.1000,2.0000,0.0000,50.0,1.0e-03,Success,50001,50.0000,0.009699,false,43.489301,0.229958,0,NaN,
74,1+2-,equi_rot_s1.0_eta0.25,[-1-1+1],[1 1 1],1.0000,0.2500,1.0000,0.0000,50.0,1.0e-03,Failure,395,0.3940,23.078423,false,1.000000,0.056804,0,NaN,
75,1+2-,equi_rot_s1.0_eta0.25,[-1-1+1],[1 1 1],4.0000,0.2500,1.0000,0.0000,50.0,1.0e-03,Failure,762,0.7610,50.092319,false,1.159001,0.026176,0,NaN,
76,1+2-,equi_rot_s2.0_eta0.25,[-1-1+1],[1 1 1],1.0000,0.2500,2.0000,0.0000,50.0,1.0e-03,Failure,1422,1.4210,0.067421,false,2.000000,0.070722,0,NaN,
77,1+2-,equi_rot_s2.0_eta0.25,[-1-1+1],[1 1 1],4.0000,0.2500,2.0000,0.0000,50.0,1.0e-03,Failure,34794,34.7930,4.260438,false,37.471520,0.059078,0,NaN,
78,1+2-,equi_rot_s1.0_eta0.5,[-1-1+1],[1 1 1],1.0000,0.5000,1.0000,0.0000,50.0,1.0e-03,Failure,662,0.6610,140.335277,false,1.083441,0.062046,0,NaN,
79,1+2-,equi_rot_s1.0_eta0.5,[-1-1+1],[1 1 1],4.0000,0.5000,1.0000,0.0000,50.0,1.0e-03,Failure,810,0.8090,4.663989,false,1.293750,0.032327,0,NaN,
80,1+2-,equi_rot_s2.0_eta0.5,[-1-1+1],[1 1 1],1.0000,0.5000,2.0000,0.0000,50.0,1.0e-03,Failure,1632,1.6310,206.245974,false,2.000000,0.045943,0,NaN,
81,1+2-,equi_rot_s2.0_eta0.5,[-1-1+1],[1 1 1],4.0000,0.5000,2.0000,0.0000,50.0,1.0e-03,Failure,2391,2.3900,8.611891,false,2.675132,0.041466,0,NaN,
82,1+2-,equi_rot_s1.0_eta0.75,[-1-1+1],[1 1 1],1.0000,0.7500,1.0000,0.0000,50.0,1.0e-03,Failure,463,0.4620,623.927435,false,1.000000,0.115316,0,NaN,
83,1+2-,equi_rot_s1.0_eta0.75,[-1-1+1],[1 1 1],4.0000,0.7500,1.0000,0.0000,50.0,1.0e-03,Failure,899,0.8980,86.700666,false,1.495586,0.039251,0,NaN,
84,1+2-,equi_rot_s2.0_eta0.75,[-1-1+1],[1 1 1],1.0000,0.7500,2.0000,0.0000,50.0,1.0e-03,Success,50001,50.0000,0.906928,false,32.998010,0.138485,0,NaN,
85,1+2-,equi_rot_s2.0_eta0.75,[-1-1+1],[1 1 1],4.0000,0.7500,2.0000,0.0000,50.0,1.0e-03,Failure,2632,2.6310,763.234506,false,3.082653,0.029325,0,NaN,
86,1+2-,planet_R0.5_eta0.5,[-1-1+1],[1 1 1],4.0000,0.5000,0.5000,0.0200,100.0,1.0e-04,Failure,2587,0.2586,8.822068,false,0.500691,0.017909,0,NaN,
87,1+2-,planet_R1.0_eta0.5,[-1-1+1],[1 1 1],4.0000,0.5000,1.0000,0.0200,100.0,1.0e-04,Failure,97801,9.7800,15.751158,false,7.283151,0.017029,0,NaN,
88,1+2-,planet_R2.0_eta0.5,[-1-1+1],[1 1 1],4.0000,0.5000,2.0000,0.0200,100.0,1.0e-04,Success,1000001,100.0000,14.031361,true,2.000206,0.016327,0,NaN,
89,1+2-,planet_R0.5_eta0.7,[-1-1+1],[1 1 1],4.0000,0.7000,0.5000,0.0200,100.0,1.0e-04,Failure,245614,24.5613,12.160351,false,6.809641,0.016919,0,NaN,
90,1+2-,planet_R1.0_eta0.7,[-1-1+1],[1 1 1],4.0000,0.7000,1.0000,0.0200,100.0,1.0e-04,Success,1000001,100.0000,23.114660,true,1.663471,0.015937,0,NaN,
91,1+2-,planet_R2.0_eta0.7,[-1-1+1],[1 1 1],4.0000,0.7000,2.0000,0.0200,100.0,1.0e-04,Success,1000001,100.0000,10.523060,true,3.043402,0.016566,0,NaN,
92,1+2-,planet_R0.5_eta0.8,[-1-1+1],[1 1 1],4.0000,0.8000,0.5000,0.0200,100.0,1.0e-04,Success,1000001,100.0000,18.737528,true,1.147905,0.016202,0,NaN,
93,1+2-,planet_R1.0_eta0.8,[-1-1+1],[1 1 1],4.0000,0.8000,1.0000,0.0200,100.0,1.0e-04,Success,1000001,100.0000,5.929361,true,1.122078,0.016843,0,NaN,
